2022-02-26 13:53:51.4645, Unable to read banned.txt
2022-02-26 13:53:51.4645, Adding Test Frequency: 247200000
2022-02-26 13:53:51.4645, Adding Test Frequency: 120300000
2022-02-26 13:53:51.4645, Adding Global Frequency: 248220000
2022-02-26 13:53:51.5556, DCS-SRS Server Running - 1.9.9.0
2022-02-26 13:53:51.9856, EVENT, TRANSMISSION LOGGING ENABLED
2022-02-26 13:53:52.8655, Running latest stable version: 1.9.9.0
2022-02-26 18:33:33.4558, Disconnecting Client
2022-02-26 18:33:33.4558, Removed Disconnected Client 6CYmpKbEREiGHdLLjupTcg
2022-02-26 18:33:46.6448, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:33:41 PM, 2022-02-26 6:33:45 PM, 75.33.150.12:53866
2022-02-26 18:33:49.1605, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:33:46 PM, 2022-02-26 6:33:48 PM, 108.63.217.4:54805
2022-02-26 18:33:57.2415, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:33:51 PM, 2022-02-26 6:33:56 PM, 108.63.217.4:54805
2022-02-26 18:34:09.9035, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:34:05 PM, 2022-02-26 6:34:09 PM, 75.33.150.12:53866
2022-02-26 18:34:12.4215, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:34:11 PM, 2022-02-26 6:34:11 PM, 108.63.217.4:54805
2022-02-26 18:39:09.6925, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:39:04 PM, 2022-02-26 6:39:09 PM, 75.33.150.12:53866
2022-02-26 18:39:11.7075, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:39:10 PM, 2022-02-26 6:39:11 PM, 108.63.217.4:54805
2022-02-26 18:41:09.6025, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:41:08 PM, 2022-02-26 6:41:09 PM, 108.63.217.4:54805
2022-02-26 18:41:12.6321, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:41:11 PM, 2022-02-26 6:41:12 PM, 75.33.150.12:53866
2022-02-26 18:41:23.7835, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:41:13 PM, 2022-02-26 6:41:23 PM, 108.63.217.4:54805
2022-02-26 18:41:35.9308, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:41:25 PM, 2022-02-26 6:41:35 PM, 75.33.150.12:53866
2022-02-26 18:41:39.9756, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:41:36 PM, 2022-02-26 6:41:39 PM, 108.63.217.4:54805
2022-02-26 18:41:43.5067, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:41:42 PM, 2022-02-26 6:41:42 PM, 75.33.150.12:53866
2022-02-26 18:43:49.0225, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:43:45 PM, 2022-02-26 6:43:48 PM, 75.33.150.12:53866
2022-02-26 18:43:52.5620, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:43:49 PM, 2022-02-26 6:43:51 PM, 108.63.217.4:54805
2022-02-26 18:44:01.6896, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:43:52 PM, 2022-02-26 6:44:01 PM, 108.63.217.4:54805
2022-02-26 18:44:03.7157, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:44:01 PM, 2022-02-26 6:44:03 PM, 108.63.217.4:54805
2022-02-26 18:44:06.2435, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:44:04 PM, 2022-02-26 6:44:05 PM, 75.33.150.12:53866
2022-02-26 18:45:11.4208, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:45:09 PM, 2022-02-26 6:45:10 PM, 108.63.217.4:54805
2022-02-26 18:45:18.0028, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:45:12 PM, 2022-02-26 6:45:17 PM, 134.41.0.42:61761
