2022-03-05 17:31:50.9986, Unable to read banned.txt
2022-03-05 17:31:51.0136, Adding Test Frequency: 247200000
2022-03-05 17:31:51.0136, Adding Test Frequency: 120300000
2022-03-05 17:31:51.0136, Adding Global Frequency: 248220000
2022-03-05 17:31:51.2336, DCS-SRS Server Running - 1.9.9.0
2022-03-05 17:31:51.5287, EVENT, TRANSMISSION LOGGING ENABLED
2022-03-05 17:31:53.6138, Running latest stable version: 1.9.9.0
2022-03-05 17:32:23.8847, Disconnecting Client
2022-03-05 17:32:23.8847, Removed Disconnected Client UjfQ8J2j1Uu3s9DdnspSLQ
2022-03-05 17:36:39.2615, Disconnecting Client
2022-03-05 17:36:39.2615, Removed Disconnected Client E1Q_LEj6C0qVLMFEDLf1-w
2022-03-05 18:00:42.7422, Disconnecting Client
2022-03-05 18:00:42.7422, Removed Disconnected Client GZf3iEU6Ak2olmB77xfedQ
2022-03-05 19:02:18.7932, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:02:17 PM, 2022-03-05 7:02:17 PM, 45.51.249.70:63263
2022-03-05 19:02:19.3073, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:02:17 PM, 2022-03-05 7:02:18 PM, 108.63.217.4:64921
2022-03-05 19:02:21.3208, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:02:19 PM, 2022-03-05 7:02:20 PM, 75.33.150.12:58053
2022-03-05 19:03:41.8088, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:03:40 PM, 2022-03-05 7:03:41 PM, 45.51.249.70:63263
2022-03-05 19:03:59.0427, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:03:46 PM, 2022-03-05 7:03:58 PM, 127.0.0.1:61992
2022-03-05 19:04:00.5612, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:03:59 PM, 2022-03-05 7:04:00 PM, 45.51.249.70:63263
2022-03-05 19:04:00.5612, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:03:59 PM, 2022-03-05 7:04:00 PM, 75.33.150.12:58053
2022-03-05 19:04:07.6552, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:04:00 PM, 2022-03-05 7:04:06 PM, 45.51.249.70:63263
2022-03-05 19:04:10.6834, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:04:08 PM, 2022-03-05 7:04:10 PM, 127.0.0.1:61992
2022-03-05 19:04:14.2216, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:04:08 PM, 2022-03-05 7:04:13 PM, 75.33.150.12:58053
2022-03-05 19:04:20.3030, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:04:18 PM, 2022-03-05 7:04:19 PM, 127.0.0.1:61992
2022-03-05 19:04:24.8461, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:04:21 PM, 2022-03-05 7:04:24 PM, 75.33.150.12:58053
2022-03-05 19:04:26.8704, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:04:25 PM, 2022-03-05 7:04:26 PM, 127.0.0.1:61992
2022-03-05 19:04:28.9751, Disconnecting Client
2022-03-05 19:04:28.9751, Removed Disconnected Client hmXnMkJc6Eugmc3vj2KYOA
2022-03-05 19:07:24.6854, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:07:20 PM, 2022-03-05 7:07:23 PM, 75.33.150.12:58053
2022-03-05 19:07:26.7059, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:07:25 PM, 2022-03-05 7:07:26 PM, 45.51.249.70:63263
2022-03-05 19:07:29.2384, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:07:27 PM, 2022-03-05 7:07:28 PM, 108.63.217.4:64921
2022-03-05 19:07:33.8094, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:07:31 PM, 2022-03-05 7:07:32 PM, 127.0.0.1:61992
2022-03-05 19:09:08.0557, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:09:06 PM, 2022-03-05 7:09:07 PM, 108.63.217.4:64921
2022-03-05 19:09:11.1034, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:09:09 PM, 2022-03-05 7:09:10 PM, 127.0.0.1:61992
2022-03-05 19:09:14.1394, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:09:11 PM, 2022-03-05 7:09:13 PM, 108.63.217.4:64921
2022-03-05 19:09:19.6938, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:09:16 PM, 2022-03-05 7:09:18 PM, 127.0.0.1:61992
2022-03-05 19:09:21.2256, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:09:20 PM, 2022-03-05 7:09:20 PM, 108.63.217.4:64921
2022-03-05 19:09:53.1228, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:09:50 PM, 2022-03-05 7:09:52 PM, 127.0.0.1:61992
2022-03-05 19:09:55.6566, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:09:53 PM, 2022-03-05 7:09:54 PM, 108.63.217.4:64921
2022-03-05 19:10:44.8451, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:10:41 PM, 2022-03-05 7:10:44 PM, 127.0.0.1:61992
2022-03-05 19:10:55.4886, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:10:52 PM, 2022-03-05 7:10:55 PM, 75.33.150.12:58053
2022-03-05 19:11:02.0915, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:10:56 PM, 2022-03-05 7:11:01 PM, 127.0.0.1:61992
2022-03-05 19:11:20.8262, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:11:06 PM, 2022-03-05 7:11:20 PM, 75.33.150.12:58053
2022-03-05 19:11:22.8416, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:11:21 PM, 2022-03-05 7:11:22 PM, 108.63.217.4:64921
2022-03-05 19:12:58.5552, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:12:55 PM, 2022-03-05 7:12:57 PM, 108.63.217.4:64921
2022-03-05 19:13:12.2756, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:13:09 PM, 2022-03-05 7:13:11 PM, 75.33.150.12:58053
2022-03-05 19:13:16.8246, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:13:12 PM, 2022-03-05 7:13:16 PM, 108.63.217.4:64921
2022-03-05 19:13:19.8896, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:13:17 PM, 2022-03-05 7:13:19 PM, 75.33.150.12:58053
2022-03-05 19:13:43.6863, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:13:29 PM, 2022-03-05 7:13:42 PM, 75.33.150.12:58053
2022-03-05 19:13:45.7191, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:13:44 PM, 2022-03-05 7:13:45 PM, 108.63.217.4:64921
2022-03-05 19:13:55.3419, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:13:48 PM, 2022-03-05 7:13:54 PM, 75.33.150.12:58053
2022-03-05 19:13:59.3876, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 7:13:55 PM, 2022-03-05 7:13:58 PM, 14.12.150.192:60113
2022-03-05 19:14:02.9364, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:14:01 PM, 2022-03-05 7:14:02 PM, 75.33.150.12:58053
2022-03-05 19:14:39.3673, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:14:35 PM, 2022-03-05 7:14:38 PM, 127.0.0.1:61992
2022-03-05 19:14:44.4217, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:14:40 PM, 2022-03-05 7:14:43 PM, 75.33.150.12:58053
2022-03-05 19:14:44.9279, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:14:42 PM, 2022-03-05 7:14:44 PM, 45.51.249.70:63263
2022-03-05 19:15:12.7933, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:15:08 PM, 2022-03-05 7:15:12 PM, 45.51.249.70:63263
2022-03-05 19:15:26.5090, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:15:14 PM, 2022-03-05 7:15:25 PM, 75.33.150.12:58053
2022-03-05 19:15:29.5367, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:15:27 PM, 2022-03-05 7:15:28 PM, 45.51.249.70:63263
2022-03-05 19:16:04.4974, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:16:02 PM, 2022-03-05 7:16:03 PM, 108.63.217.4:64921
2022-03-05 19:16:10.0681, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:16:05 PM, 2022-03-05 7:16:09 PM, 108.63.217.4:64921
2022-03-05 19:16:13.1018, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:16:11 PM, 2022-03-05 7:16:12 PM, 75.33.150.12:58053
2022-03-05 19:16:20.6968, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:16:15 PM, 2022-03-05 7:16:19 PM, 127.0.0.1:61992
2022-03-05 19:16:25.2515, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:16:21 PM, 2022-03-05 7:16:24 PM, 75.33.150.12:58053
2022-03-05 19:16:33.8682, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 7:16:31 PM, 2022-03-05 7:16:32 PM, 127.0.0.1:61992
2022-03-05 19:16:36.9003, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:16:36 PM, 2022-03-05 7:16:36 PM, 108.63.217.4:64921
